seed,scene_index,scene_name,method,success,terminal_error,min_dist,arrival_time_success,control_energy,update_count,accepted_update_count,confidence,alpha,pred_gain,recent_gain,norm_id_error,nnz_model
121,3,S3 One-sided mud pit (stress),sindy,1,0.30362024492951717,0.486496084657729,14.3,17.264033009509355,26,1,0.8705717079575744,0.0928814439376666,0.9319692111326259,0.9255254037325686,0.037518243781986045,13
121,3,S3 One-sided mud pit (stress),standard,0,0.30177371797641256,0.3765112139376196,,16.594465969297392,0,0,,,,,,0
121,3,S3 One-sided mud pit (stress),rls,0,0.302631629979441,0.3760589587306119,,16.591859229095867,134,134,,0.2,,,,0
121,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.25424832975438927,0.45190072885565397,9.5,11.413832149175901,17,9,0.890450472758193,0.35239347690208744,0.9288605663397319,0.9442348752820868,0.007789356800242985,15
121,4,S4 Emergency avoidance with moving obstacle,standard,1,0.25435306940761415,0.4352753903784498,9.5,11.310171958096422,0,0,,,,,,0
121,4,S4 Emergency avoidance with moving obstacle,rls,1,0.25900899310833525,0.4227525423312129,9.600000000000001,11.222002566080185,82,82,,0.2,,,,0
121,5,S5 Continuously varying terrain,sindy,1,0.2579967120582755,0.6853921032495187,10.3,12.386260943008322,18,9,0.8820032818953817,0.3499093384568085,0.9335528161340185,0.9172251984575317,0.014941880039041754,15
121,5,S5 Continuously varying terrain,standard,1,0.26251804650226673,0.6484106513645412,10.3,12.224555366032526,0,0,,,,,,0
121,5,S5 Continuously varying terrain,rls,1,0.26251804650226673,0.6484106513645412,10.3,12.224555366032526,89,89,,0.2,,,,0
121,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.31562475665604256,0.521607174750293,16.0,19.487787883976537,30,1,0.8659558793559587,0.09262757336457775,0.9471127176773448,0.9371114316754551,0.03554876593691395,14
121,6,S6 High-mismatch asymmetric mud stress,standard,1,0.30268234948536044,0.3969438298176187,16.6,18.746204736036596,0,0,,,,,,0
121,6,S6 High-mismatch asymmetric mud stress,rls,1,0.3163505864126659,0.4002903173710432,16.5,18.754731460296178,151,151,,0.2,,,,0
122,1,S1 Slippery-surface avoidance,sindy,1,0.2995357402660205,1.3404571226728348,12.200000000000001,14.909196645180629,22,4,0.869770802879416,0.25563312181777326,0.9863251001440875,0.9855291115708125,0.02577514393191608,15
122,1,S1 Slippery-surface avoidance,standard,1,0.2836589942252589,1.2925668342911032,12.200000000000001,14.567304367597869,0,0,,,,,,0
122,1,S1 Slippery-surface avoidance,rls,1,0.2836589942252589,1.2925668342911032,12.200000000000001,14.567304367597869,108,108,,0.2,,,,0
